beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	energy_per_particle_grand_canonical	energy_per_particle_canonical
51.000000	0.019607843137	797	399	0.001088160254	399.000000000000	-1.582274075839	-1.582278527123
52.000000	0.019230769231	797	399	0.001071050829	399.000000000000	-1.582279924385	-1.582284156435
53.000000	0.018867924528	797	399	0.001054417474	399.000000000000	-1.582285368759	-1.582289395373
54.000000	0.018518518519	797	399	0.001038243170	399.000000000000	-1.582290443169	-1.582294277076
55.000000	0.018181818182	797	399	0.001022511504	399.000000000000	-1.582295178409	-1.582298831360
56.000000	0.017857142857	797	399	0.001007206657	399.000000000000	-1.582299602248	-1.582303085104
57.000000	0.017543859649	797	399	0.000992313400	399.000000000000	-1.582303739771	-1.582307062580
58.000000	0.017241379310	797	399	0.000977817078	399.000000000000	-1.582307613675	-1.582310785743
59.000000	0.016949152542	797	399	0.000963703593	399.000000000000	-1.582311244535	-1.582314274485
60.000000	0.016666666667	797	399	0.000949959395	399.000000000000	-1.582314651023	-1.582317546859
61.000000	0.016393442623	797	399	0.000936571463	399.000000000000	-1.582317850117	-1.582320619273
62.000000	0.016129032258	797	399	0.000923527286	399.000000000000	-1.582320857273	-1.582323506659
63.000000	0.015873015873	797	399	0.000910814852	399.000000000000	-1.582323686582	-1.582326222631
64.000000	0.015625000000	797	399	0.000898422625	399.000000000000	-1.582326350910	-1.582328779614
65.000000	0.015384615385	797	399	0.000886339533	399.000000000000	-1.582328862016	-1.582331188964
66.000000	0.015151515152	797	399	0.000874554945	399.000000000000	-1.582331230667	-1.582333461076
67.000000	0.014925373134	797	399	0.000863058661	399.000000000000	-1.582333466729	-1.582335605473
68.000000	0.014705882353	797	399	0.000851840892	399.000000000000	-1.582335579255	-1.582337630895
69.000000	0.014492753623	797	399	0.000840892240	399.000000000000	-1.582337576563	-1.582339545368
70.000000	0.014285714286	797	399	0.000830203691	399.000000000000	-1.582339466303	-1.582341356276
71.000000	0.014084507042	797	399	0.000819766591	399.000000000000	-1.582341255520	-1.582343070417
72.000000	0.013888888889	797	399	0.000809572636	399.000000000000	-1.582342950708	-1.582344694055
73.000000	0.013698630137	797	399	0.000799613855	399.000000000000	-1.582344557860	-1.582346232974
74.000000	0.013513513514	797	399	0.000789882597	399.000000000000	-1.582346082513	-1.582347692514
75.000000	0.013333333333	797	399	0.000780371517	399.000000000000	-1.582347529787	-1.582349077614
76.000000	0.013157894737	797	399	0.000771073562	399.000000000000	-1.582348904421	-1.582350392848
77.000000	0.012987012987	797	399	0.000761981961	399.000000000000	-1.582350210808	-1.582351642450
78.000000	0.012820512821	797	399	0.000753090209	399.000000000000	-1.582351453022	-1.582352830352
79.000000	0.012658227848	797	399	0.000744392059	399.000000000000	-1.582352634846	-1.582353960201
80.000000	0.012500000000	797	399	0.000735881508	399.000000000000	-1.582353759795	-1.582355035387
81.000000	0.012345679012	797	399	0.000727552788	399.000000000000	-1.582354831140	-1.582356059065
82.000000	0.012195121951	797	399	0.000719400354	399.000000000000	-1.582355851924	-1.582357034170
83.000000	0.012048192771	797	399	0.000711418876	399.000000000000	-1.582356824987	-1.582357963438
84.000000	0.011904761905	797	399	0.000703603230	399.000000000000	-1.582357752973	-1.582358849422
85.000000	0.011764705882	797	399	0.000695948484	399.000000000000	-1.582358638354	-1.582359694502
86.000000	0.011627906977	797	399	0.000688449897	399.000000000000	-1.582359483438	-1.582360500904
87.000000	0.011494252874	797	399	0.000681102904	399.000000000000	-1.582360290384	-1.582361270709
88.000000	0.011363636364	797	399	0.000673903113	399.000000000000	-1.582361061211	-1.582362005865
89.000000	0.011235955056	797	399	0.000666846295	399.000000000000	-1.582361797813	-1.582362708194
90.000000	0.011111111111	797	399	0.000659928376	399.000000000000	-1.582362501962	-1.582363379406
91.000000	0.010989010989	797	399	0.000653145433	399.000000000000	-1.582363175323	-1.582364021104
92.000000	0.010869565217	797	399	0.000646493686	399.000000000000	-1.582363819458	-1.582364634793
93.000000	0.010752688172	797	399	0.000639969491	399.000000000000	-1.582364435835	-1.582365221887
94.000000	0.010638297872	797	399	0.000633569335	399.000000000000	-1.582365025833	-1.582365783716
95.000000	0.010526315789	797	399	0.000627289832	399.000000000000	-1.582365590751	-1.582366321529
96.000000	0.010416666667	797	399	0.000621127713	399.000000000000	-1.582366131812	-1.582366836503
97.000000	0.010309278351	797	399	0.000615079825	399.000000000000	-1.582366650169	-1.582367329748
98.000000	0.010204081633	797	399	0.000609143128	399.000000000000	-1.582367146906	-1.582367802309
99.000000	0.010101010101	797	399	0.000603314682	399.000000000000	-1.582367623049	-1.582368255173
100.000000	0.010000000000	797	399	0.000597591651	399.000000000000	-1.582368079566	-1.582368689269
