beta	temperature	nsites	canonical_n	target_density	mu_grand_canonical	avg_n_grand_canonical	kappa_grand_canonical	kappa_canonical
28.000000	0.035714285714	797	399	0.500627352572	0.001658984425	399.000000000000	3.780717023984e-01	0.000000000000e+00
29.000000	0.034482758621	797	399	0.500627352572	0.001625452400	399.000000000000	3.858662294462e-01	0.000000000000e+00
30.000000	0.033333333333	797	399	0.500627352572	0.001592803939	399.000000000000	3.937706802598e-01	0.000000000000e+00
31.000000	0.032258064516	797	399	0.500627352572	0.001561041245	399.000000000000	4.017779708163e-01	0.000000000000e+00
32.000000	0.031250000000	797	399	0.500627352572	0.001530160707	399.000000000000	4.098815728001e-01	0.000000000000e+00
33.000000	0.030303030303	797	399	0.500627352572	0.001500153967	399.000000000000	4.180754723722e-01	0.000000000000e+00
34.000000	0.029411764706	797	399	0.500627352572	0.001471008842	399.000000000000	4.263541273814e-01	0.000000000000e+00
35.000000	0.028571428571	797	399	0.500627352572	0.001442710127	399.000000000000	4.347124254433e-01	0.000000000000e+00
36.000000	0.027777777778	797	399	0.500627352572	0.001415240269	399.000000000000	4.431456443407e-01	0.000000000000e+00
37.000000	0.027027027027	797	399	0.500627352572	0.001388579940	399.000000000000	4.516494155272e-01	0.000000000000e+00
38.000000	0.026315789474	797	399	0.500627352572	0.001362708506	399.000000000000	4.602196910611e-01	0.000000000000e+00
39.000000	0.025641025641	797	399	0.500627352572	0.001337604430	399.000000000000	4.688527140048e-01	0.000000000000e+00
40.000000	0.025000000000	797	399	0.500627352572	0.001313245585	399.000000000000	4.775449921377e-01	0.000000000000e+00
41.000000	0.024390243902	797	399	0.500627352572	0.001289609526	399.000000000000	4.862932747320e-01	0.000000000000e+00
42.000000	0.023809523810	797	399	0.500627352572	0.001266673699	399.000000000000	4.950945320822e-01	0.000000000000e+00
43.000000	0.023255813953	797	399	0.500627352572	0.001244415619	399.000000000000	5.039459374701e-01	0.000000000000e+00
44.000000	0.022727272727	797	399	0.500627352572	0.001222813005	399.000000000000	5.128448512488e-01	0.000000000000e+00
45.000000	0.022222222222	797	399	0.500627352572	0.001201843892	399.000000000000	5.217888067526e-01	0.000000000000e+00
46.000000	0.021739130435	797	399	0.500627352572	0.001181486714	399.000000000000	5.307754977647e-01	0.000000000000e+00
47.000000	0.021276595745	797	399	0.500627352572	0.001161720374	399.000000000000	5.398027673093e-01	0.000000000000e+00
48.000000	0.020833333333	797	399	0.500627352572	0.001142524292	399.000000000000	5.488685975613e-01	0.000000000000e+00
49.000000	0.020408163265	797	399	0.500627352572	0.001123878441	399.000000000000	5.579711007009e-01	0.000000000000e+00
50.000000	0.020000000000	797	399	0.500627352572	0.001105763378	399.000000000000	5.671085105655e-01	0.000000000000e+00
51.000000	0.019607843137	797	399	0.500627352572	0.001088160254	399.000000000000	5.762791749759e-01	0.000000000000e+00
52.000000	0.019230769231	797	399	0.500627352572	0.001071050829	399.000000000000	5.854815486378e-01	0.000000000000e+00
53.000000	0.018867924528	797	399	0.500627352572	0.001054417474	399.000000000000	5.947141865349e-01	0.000000000000e+00
54.000000	0.018518518519	797	399	0.500627352572	0.001038243170	399.000000000000	6.039757377485e-01	0.000000000000e+00
55.000000	0.018181818182	797	399	0.500627352572	0.001022511504	399.000000000000	6.132649396495e-01	0.000000000000e+00
56.000000	0.017857142857	797	399	0.500627352572	0.001007206657	399.000000000000	6.225806124218e-01	0.000000000000e+00
57.000000	0.017543859649	797	399	0.500627352572	0.000992313400	399.000000000000	6.319216538825e-01	0.000000000000e+00
58.000000	0.017241379310	797	399	0.500627352572	0.000977817078	399.000000000000	6.412870345734e-01	0.000000000000e+00
59.000000	0.016949152542	797	399	0.500627352572	0.000963703593	399.000000000000	6.506757931031e-01	0.000000000000e+00
60.000000	0.016666666667	797	399	0.500627352572	0.000949959395	399.000000000000	6.600870317224e-01	0.000000000000e+00
61.000000	0.016393442623	797	399	0.500627352572	0.000936571463	399.000000000000	6.695199121220e-01	0.000000000000e+00
62.000000	0.016129032258	797	399	0.500627352572	0.000923527286	399.000000000000	6.789736514402e-01	0.000000000000e+00
63.000000	0.015873015873	797	399	0.500627352572	0.000910814852	399.000000000000	6.884475184727e-01	0.000000000000e+00
64.000000	0.015625000000	797	399	0.500627352572	0.000898422625	399.000000000000	6.979408300787e-01	0.000000000000e+00
65.000000	0.015384615385	797	399	0.500627352572	0.000886339533	399.000000000000	7.074529477739e-01	0.000000000000e+00
66.000000	0.015151515152	797	399	0.500627352572	0.000874554945	399.000000000000	7.169832745083e-01	0.000000000000e+00
67.000000	0.014925373134	797	399	0.500627352572	0.000863058661	399.000000000000	7.265312516202e-01	0.000000000000e+00
