idx	U_label	U	Ntot_target	target_density	beta	T	mu_L8_reference	L8_reference_Ntot	L8_reference_density	mu_probe	mu_label	probe_offset	probe_role	Lx	Ly	dtau	ntherm	nmeasurements	nbins	nupdates	account	out_parent	sid	seed	target_key	tuning_status	source_manifests	job_tag
20	Um5	-5.0	12	0.333333333333	5.0	0.200000000000	-0.965448380035	22	0.343750000000	-0.945448380035	m0p945448	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b5p0_mum0p945448_plus_0p02	916000020	1907193020	Um5_L6_N012_b5p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b5p0plus_0p02
21	Um5	-5.0	12	0.333333333333	6.7	0.149253731343	-0.961905774706	22	0.343750000000	-0.981905774706	m0p981906	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b6p7_mum0p981906_minus_0p02	916000021	1907193021	Um5_L6_N012_b6p7	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b6p7minus_0p02
22	Um5	-5.0	12	0.333333333333	6.7	0.149253731343	-0.961905774706	22	0.343750000000	-0.961905774706	m0p961906	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b6p7_mum0p961906_center	916000022	1907193022	Um5_L6_N012_b6p7	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b6p7center
23	Um5	-5.0	12	0.333333333333	6.7	0.149253731343	-0.961905774706	22	0.343750000000	-0.941905774706	m0p941906	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b6p7_mum0p941906_plus_0p02	916000023	1907193023	Um5_L6_N012_b6p7	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b6p7plus_0p02
24	Um5	-5.0	12	0.333333333333	10.0	0.100000000000	-0.962119438542	22	0.343750000000	-0.982119438542	m0p982119	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b10p0_mum0p982119_minus_0p02	916000024	1907193024	Um5_L6_N012_b10p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b10p0minus_0p02
25	Um5	-5.0	12	0.333333333333	10.0	0.100000000000	-0.962119438542	22	0.343750000000	-0.962119438542	m0p962119	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b10p0_mum0p962119_center	916000025	1907193025	Um5_L6_N012_b10p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b10p0center
26	Um5	-5.0	12	0.333333333333	10.0	0.100000000000	-0.962119438542	22	0.343750000000	-0.942119438542	m0p942119	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b10p0_mum0p942119_plus_0p02	916000026	1907193026	Um5_L6_N012_b10p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b10p0plus_0p02
27	Um5	-5.0	12	0.333333333333	20.0	0.050000000000	-0.959652287530	22	0.343750000000	-0.979652287530	m0p979652	-0.02	minus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b20p0_mum0p979652_minus_0p02	916000027	1907193027	Um5_L6_N012_b20p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b20p0minus_0p02
28	Um5	-5.0	12	0.333333333333	20.0	0.050000000000	-0.959652287530	22	0.343750000000	-0.959652287530	m0p959652	0.00	center	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b20p0_mum0p959652_center	916000028	1907193028	Um5_L6_N012_b20p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b20p0center
29	Um5	-5.0	12	0.333333333333	20.0	0.050000000000	-0.959652287530	22	0.343750000000	-0.939652287530	m0p939652	0.02	plus_0p02	6	6	0.1	2000	10000	20	3	ccsd	/home/9pm/nUHubbard/runs/gce_mu_L6_L8seed_20260719/attractive/Um5/Ntot012_n0.333333_b20p0_mum0p939652_plus_0p02	916000029	1907193029	Um5_L6_N012_b20p0	initial_L8_seed_pm0p02	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	muL6Um5N12b20p0plus_0p02
