idx	U_label	U	beta	T	L6_Ntot_target	L6_target_density	L8_reference_Ntot	L8_reference_density	mu_L8_reference	source_manifests	source_out_parents	reference_status
11	Um5	-5.0	2.2	0.454545454545	18	0.500000000000	32	0.500000000000	-0.764002194788	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/ccsd/Ntot032_n0.500000_b2p2_T0p454545_mum0p764002	final_production
12	Um5	-5.0	2.5	0.400000000000	18	0.500000000000	32	0.500000000000	-0.741092014715	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/ccsd/Ntot032_n0.500000_b2p5_T0p400000_mum0p741092	final_production
13	Um5	-5.0	2.9	0.344827586207	18	0.500000000000	32	0.500000000000	-0.720134836299	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/ccsd/Ntot032_n0.500000_b2p9_T0p344828_mum0p720135	final_production
14	Um5	-5.0	3.3	0.303030303030	18	0.500000000000	32	0.500000000000	-0.705852162058	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/ccsd/Ntot032_n0.500000_b3p3_T0p303030_mum0p705852	final_production
15	Um5	-5.0	4.0	0.250000000000	18	0.500000000000	32	0.500000000000	-0.692002472583	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/ccsd/Ntot032_n0.500000_b4p0_T0p250000_mum0p692002	final_production
16	Um5	-5.0	5.0	0.200000000000	18	0.500000000000	32	0.500000000000	-0.687412791970	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/ccsd/Ntot032_n0.500000_b5p0_T0p200000_mum0p687413	final_production
17	Um5	-5.0	6.7	0.149253731343	18	0.500000000000	32	0.500000000000	-0.687498702279	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/cnms/Ntot032_n0.500000_b6p7_T0p149254_mum0p687499	final_production
18	Um5	-5.0	10.0	0.100000000000	18	0.500000000000	32	0.500000000000	-0.688767069484	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_N32_beta_grid_20260710_manifests_gce_prod_L8_Um5_N32_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_N32_beta_grid_20260710/cnms/Ntot032_n0.500000_b10p0_T0p100000_mum0p688767	final_production
19	Um5	-5.0	20.0	0.050000000000	18	0.500000000000	32	0.500000000000	-0.688283521957	scripts_interacting_qmc_ed_ce_gce_eqtime_L8_Um5_three_density_beta20_20260712_manifests_gce_prod_L8_Um5_three_density_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_Um5_three_density_beta20_20260712/cnms/Ntot032_n0.500000_b20p0_T0p050000_mum0p688284	final_production
20	Um5	-5.0	2.0	0.500000000000	26	0.722222222222	46	0.718750000000	-0.414854954262	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um5/Ntot046_n0.718750_beta2p0	final_production
21	Um5	-5.0	2.2	0.454545454545	26	0.722222222222	46	0.718750000000	-0.403129078052	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um5/Ntot046_n0.718750_beta2p2	final_production
22	Um5	-5.0	2.5	0.400000000000	26	0.722222222222	46	0.718750000000	-0.389565237587	scripts_interacting_qmc_ed_gce_prod_L8_found_mu_N46_allU_Up5small_beta_le10_20260713_manifests_gce_prod_L8_found_mu_attractive_20260713_all.tsv	/home/9pm/nUHubbard/runs/dqmc_gce_eqtime_L8_N46_Um3_Um5_beta_le10_foundmu_20260713/ccsd/Um5/Ntot046_n0.718750_beta2p5	final_production
