idx	stage	U_label	U	beta	target_T	actual_T	Ltau	Ntot	Nup	Ndn	density	account	job_tag	outdir	seed	nwarmups	max_batches	batch_nsamples	measure_interval	cluster_size	Lx	Ly	dtau	expected_ranks	phase_reweighted	force_symmetry
28	attractive	Um5	-5.0	2.2	0.454545454545	0.454545454545	22	32	16	16	0.888888888889	ccsd	ceL6Um5N32b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b2p2_T0.454545_Nup016_Ndn016_r32_w5000_m50000_seed1907190028	1907190028	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
29	attractive	Um5	-5.0	2.5	0.400000000000	0.400000000000	25	32	16	16	0.888888888889	ccsd	ceL6Um5N32b2p5	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b2p5_T0.400000_Nup016_Ndn016_r32_w5000_m50000_seed1907190029	1907190029	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
30	attractive	Um5	-5.0	2.9	0.344827586207	0.344827586207	29	32	16	16	0.888888888889	ccsd	ceL6Um5N32b2p9	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b2p9_T0.344828_Nup016_Ndn016_r32_w5000_m50000_seed1907190030	1907190030	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
31	attractive	Um5	-5.0	3.3	0.303030303030	0.303030303030	33	32	16	16	0.888888888889	ccsd	ceL6Um5N32b3p3	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b3p3_T0.303030_Nup016_Ndn016_r32_w5000_m50000_seed1907190031	1907190031	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
32	attractive	Um5	-5.0	4.0	0.250000000000	0.250000000000	40	32	16	16	0.888888888889	ccsd	ceL6Um5N32b4p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b4p0_T0.250000_Nup016_Ndn016_r32_w5000_m50000_seed1907190032	1907190032	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
33	attractive	Um5	-5.0	5.0	0.200000000000	0.200000000000	50	32	16	16	0.888888888889	ccsd	ceL6Um5N32b5p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b5p0_T0.200000_Nup016_Ndn016_r32_w5000_m50000_seed1907190033	1907190033	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
34	attractive	Um5	-5.0	6.7	0.149253731343	0.149253731343	67	32	16	16	0.888888888889	ccsd	ceL6Um5N32b6p7	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b6p7_T0.149254_Nup016_Ndn016_r32_w5000_m50000_seed1907190034	1907190034	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
35	attractive	Um5	-5.0	10.0	0.100000000000	0.100000000000	100	32	16	16	0.888888888889	ccsd	ceL6Um5N32b10p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um5/Ntot032_n0.888889_b10p0_T0.100000_Nup016_Ndn016_r32_w5000_m50000_seed1907190035	1907190035	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
36	attractive	Um3	-3.0	2.0	0.500000000000	0.500000000000	20	12	6	6	0.333333333333	ccsd	ceL6Um3N12b2p0	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b2p0_T0.500000_Nup006_Ndn006_r32_w5000_m50000_seed1907190036	1907190036	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
37	attractive	Um3	-3.0	2.2	0.454545454545	0.454545454545	22	12	6	6	0.333333333333	ccsd	ceL6Um3N12b2p2	/home/9pm/nUHubbard/runs/ce_eqtime_L6_thermometry_20260719/attractive/Um3/Ntot012_n0.333333_b2p2_T0.454545_Nup006_Ndn006_r32_w5000_m50000_seed1907190037	1907190037	5000	50000	1	3	36	6	6	0.1	32	false	driver_default
