beta	total_energy	total_energy_per_site	total_energy_per_particle
9.700000000000	-5.953408358974	-0.744176044872	-0.744176044872
9.800000000000	-5.953465299575	-0.744183162447	-0.744183162447
9.900000000000	-5.953518267696	-0.744189783462	-0.744189783462
10.000000000000	-5.953567547417	-0.744195943427	-0.744195943427
10.100000000000	-5.953613401675	-0.744201675209	-0.744201675209
10.200000000000	-5.953656073939	-0.744207009242	-0.744207009242
10.300000000000	-5.953695789737	-0.744211973717	-0.744211973717
10.400000000000	-5.953732758050	-0.744216594756	-0.744216594756
10.500000000000	-5.953767172597	-0.744220896575	-0.744220896575
10.600000000000	-5.953799213004	-0.744224901626	-0.744224901626
10.700000000000	-5.953829045881	-0.744228630735	-0.744228630735
10.800000000000	-5.953856825813	-0.744232103227	-0.744232103227
10.900000000000	-5.953882696262	-0.744235337033	-0.744235337033
11.000000000000	-5.953906790409	-0.744238348801	-0.744238348801
11.100000000000	-5.953929231915	-0.744241153989	-0.744241153989
11.200000000000	-5.953950135632	-0.744243766954	-0.744243766954
11.300000000000	-5.953969608253	-0.744246201032	-0.744246201032
11.400000000000	-5.953987748915	-0.744248468614	-0.744248468614
11.500000000000	-5.954004649747	-0.744250581218	-0.744250581218
11.600000000000	-5.954020396388	-0.744252549548	-0.744252549548
11.700000000000	-5.954035068453	-0.744254383557	-0.744254383557
11.800000000000	-5.954048739973	-0.744256092497	-0.744256092497
11.900000000000	-5.954061479795	-0.744257684974	-0.744257684974
12.000000000000	-5.954073351959	-0.744259168995	-0.744259168995
12.100000000000	-5.954084416034	-0.744260552004	-0.744260552004
12.200000000000	-5.954094727448	-0.744261840931	-0.744261840931
12.300000000000	-5.954104337775	-0.744263042222	-0.744263042222
12.400000000000	-5.954113295011	-0.744264161876	-0.744264161876
12.500000000000	-5.954121643828	-0.744265205478	-0.744265205478
12.600000000000	-5.954129425808	-0.744266178226	-0.744266178226
12.700000000000	-5.954136679662	-0.744267084958	-0.744267084958
12.800000000000	-5.954143441430	-0.744267930179	-0.744267930179
12.900000000000	-5.954149744669	-0.744268718084	-0.744268718084
13.000000000000	-5.954155620629	-0.744269452579	-0.744269452579
13.100000000000	-5.954161098409	-0.744270137301	-0.744270137301
13.200000000000	-5.954166205112	-0.744270775639	-0.744270775639
13.300000000000	-5.954170965983	-0.744271370748	-0.744271370748
13.400000000000	-5.954175404535	-0.744271925567	-0.744271925567
13.500000000000	-5.954179542673	-0.744272442834	-0.744272442834
13.600000000000	-5.954183400802	-0.744272925100	-0.744272925100
13.700000000000	-5.954186997934	-0.744273374742	-0.744273374742
13.800000000000	-5.954190351782	-0.744273793973	-0.744273793973
13.900000000000	-5.954193478850	-0.744274184856	-0.744274184856
14.000000000000	-5.954196394517	-0.744274549315	-0.744274549315
14.100000000000	-5.954199113113	-0.744274889139	-0.744274889139
14.200000000000	-5.954201647993	-0.744275205999	-0.744275205999
14.300000000000	-5.954204011603	-0.744275501450	-0.744275501450
14.400000000000	-5.954206215542	-0.744275776943	-0.744275776943
14.500000000000	-5.954208270619	-0.744276033827	-0.744276033827
14.600000000000	-5.954210186911	-0.744276273364	-0.744276273364
14.700000000000	-5.954211973808	-0.744276496726	-0.744276496726
14.800000000000	-5.954213640064	-0.744276705008	-0.744276705008
14.900000000000	-5.954215193838	-0.744276899230	-0.744276899230
15.000000000000	-5.954216642737	-0.744277080342	-0.744277080342
15.100000000000	-5.954217993851	-0.744277249231	-0.744277249231
15.200000000000	-5.954219253788	-0.744277406723	-0.744277406723
15.300000000000	-5.954220428710	-0.744277553589	-0.744277553589
15.400000000000	-5.954221524363	-0.744277690545	-0.744277690545
15.500000000000	-5.954222546100	-0.744277818262	-0.744277818262
15.600000000000	-5.954223498914	-0.744277937364	-0.744277937364
15.700000000000	-5.954224387460	-0.744278048432	-0.744278048432
15.800000000000	-5.954225216077	-0.744278152010	-0.744278152010
15.900000000000	-5.954225988813	-0.744278248602	-0.744278248602
16.000000000000	-5.954226709438	-0.744278338680	-0.744278338680
16.100000000000	-5.954227381470	-0.744278422684	-0.744278422684
16.200000000000	-5.954228008190	-0.744278501024	-0.744278501024
16.300000000000	-5.954228592654	-0.744278574082	-0.744278574082
16.400000000000	-5.954229137715	-0.744278642214	-0.744278642214
16.500000000000	-5.954229646029	-0.744278705754	-0.744278705754
16.600000000000	-5.954230120078	-0.744278765010	-0.744278765010
16.700000000000	-5.954230562171	-0.744278820271	-0.744278820271
16.800000000000	-5.954230974465	-0.744278871808	-0.744278871808
16.900000000000	-5.954231358969	-0.744278919871	-0.744278919871
17.000000000000	-5.954231717557	-0.744278964695	-0.744278964695
17.100000000000	-5.954232051978	-0.744279006497	-0.744279006497
17.200000000000	-5.954232363860	-0.744279045483	-0.744279045483
17.300000000000	-5.954232654724	-0.744279081841	-0.744279081841
17.400000000000	-5.954232925987	-0.744279115748	-0.744279115748
17.500000000000	-5.954233178969	-0.744279147371	-0.744279147371
17.600000000000	-5.954233414904	-0.744279176863	-0.744279176863
17.700000000000	-5.954233634941	-0.744279204368	-0.744279204368
17.800000000000	-5.954233840151	-0.744279230019	-0.744279230019
17.900000000000	-5.954234031534	-0.744279253942	-0.744279253942
18.000000000000	-5.954234210022	-0.744279276253	-0.744279276253
18.100000000000	-5.954234376484	-0.744279297060	-0.744279297060
18.200000000000	-5.954234531730	-0.744279316466	-0.744279316466
18.300000000000	-5.954234676516	-0.744279334565	-0.744279334565
18.400000000000	-5.954234811548	-0.744279351444	-0.744279351444
18.500000000000	-5.954234937482	-0.744279367185	-0.744279367185
18.600000000000	-5.954235054932	-0.744279381867	-0.744279381867
18.700000000000	-5.954235164470	-0.744279395559	-0.744279395559
18.800000000000	-5.954235266628	-0.744279408328	-0.744279408328
18.900000000000	-5.954235361904	-0.744279420238	-0.744279420238
19.000000000000	-5.954235450761	-0.744279431345	-0.744279431345
19.100000000000	-5.954235533632	-0.744279441704	-0.744279441704
19.200000000000	-5.954235610921	-0.744279451365	-0.744279451365
19.300000000000	-5.954235683003	-0.744279460375	-0.744279460375
19.400000000000	-5.954235750230	-0.744279468779	-0.744279468779
19.500000000000	-5.954235812928	-0.744279476616	-0.744279476616
19.600000000000	-5.954235871402	-0.744279483925	-0.744279483925
19.700000000000	-5.954235925938	-0.744279490742	-0.744279490742
19.800000000000	-5.954235976800	-0.744279497100	-0.744279497100
19.900000000000	-5.954236024235	-0.744279503029	-0.744279503029
20.000000000000	-5.954236068476	-0.744279508559	-0.744279508559
