beta	batch	seed	nsamples	kinetic	kinetic_stderr	potential	potential_stderr	total	total_stderr	time_slices
5.0	5.0	6238.0	1280.0	-1.3397791426767278	0.004139981061845407	0.5003170738119314	0.0023782611806134816	-0.8394620688647961	0.003580610138134639	50.0
5.0	6.0	6239.0	1536.0	-1.3390117283798781	0.0037732257759246395	0.5016226691539974	0.002135860758883294	-0.8373890592258806	0.0031844506310775562	50.0
5.0	7.0	6240.0	1792.0	-1.3402406320690052	0.0035269566297399997	0.5010055443359253	0.002098935581722904	-0.83923508773308	0.003091775242743634	50.0
5.0	8.0	6241.0	2048.0	-1.3401283135969555	0.003310600515068898	0.5014628624957299	0.0019444846924525474	-0.8386654511012253	0.0028512300853832545	50.0
6.0	1.0	7234.0	256.0	-1.3490691448511625	0.009579771331016838	0.4962597880644022	0.005844810117622796	-0.8528093567867605	0.008861355158496233	60.0
6.0	2.0	7235.0	512.0	-1.3398337766195088	0.006508591046987947	0.4904664897532428	0.003625873576599777	-0.8493672868662661	0.0055908557391888	60.0
6.0	3.0	7236.0	768.0	-1.342441057698381	0.005246759621111321	0.4925843628967403	0.0028347973604509274	-0.849856694801641	0.00434656079342856	60.0
6.0	4.0	7237.0	1024.0	-1.3375164515385347	0.0044739538884979975	0.49258961331979406	0.002361156822591679	-0.8449268382187405	0.0036253162553684694	60.0
6.0	5.0	7238.0	1280.0	-1.3409720567584793	0.004141483691002846	0.4702644477511064	0.02316893113518461	-0.8707076090073731	0.022251714054454252	60.0
6.0	6.0	7239.0	1536.0	-1.3426182653477683	0.003805429669720689	0.4749025982256234	0.019322073250011344	-0.867715667122145	0.01858162741110585	60.0
6.0	7.0	7240.0	1792.0	-1.3444916991008165	0.0035130958747663344	0.47754110642015996	0.016577696116683548	-0.8669505926806563	0.015956865782541425	60.0
6.0	8.0	7241.0	2048.0	-1.3415144614931913	0.0032862734009289395	0.47899507164841704	0.014517662829347843	-0.8625193898447745	0.013990532396569147	60.0
6.0	9.0	7242.0	2304.0	-1.3417351315478494	0.0031052331396761476	0.48079149584638325	0.012925287794258724	-0.8609436357014659	0.012470804386998914	60.0
6.0	10.0	7243.0	2560.0	-1.3415809542147925	0.0029420295792185816	0.48230012023281843	0.011640006741120486	-0.8592808339819742	0.011244729900119722	60.0
6.0	11.0	7244.0	2816.0	-1.3429597835160927	0.0027996360056429725	0.48398800733357966	0.010589294891715801	-0.8589717761825129	0.010243644348196145	60.0
6.0	12.0	7245.0	3072.0	-1.3443262687986437	0.0026899830189887446	0.4852246075828281	0.009717358786266485	-0.8591016612158157	0.009410946500030033	60.0
6.0	13.0	7246.0	3328.0	-1.3447408650452504	0.0026025568870989327	0.48608403486197516	0.008979334421552259	-0.858656830183275	0.008707208109567228	60.0
6.0	14.0	7247.0	3584.0	-1.3456965882848368	0.002514217857844621	0.487041198997585	0.008346038792670247	-0.8586553892872519	0.008103818185516738	60.0
6.0	15.0	7248.0	3840.0	-1.3464076136025163	0.002415626320677497	0.48774969926504236	0.007795489243447772	-0.858657914337474	0.007576140541101713	60.0
6.0	16.0	7249.0	4096.0	-1.3474954310103162	0.002341793683331878	0.48827048315973026	0.007318142193296333	-0.859224947850586	0.007129188501278922	60.0
