beta	temperature	nsites	canonical_n	mu_grand_canonical	avg_n_grand_canonical	kappa_grand_canonical	kappa_canonical	entropy_per_particle_grand_canonical	entropy_per_particle_canonical
38.000000	0.026315789474	1257	629	0.000984471306	629.000000000000	0.403988082430	0.408742790085	0.063651982924	0.059804169275
39.000000	0.025641025641	1257	629	0.000969361652	629.000000000000	0.410282735747	0.415251143745	0.062850771175	0.059020805328
40.000000	0.025000000000	1257	629	0.000954569984	629.000000000000	0.416637936406	0.421820898478	0.062099511316	0.058286576853
41.000000	0.024390243902	1257	629	0.000940095027	629.000000000000	0.423050669174	0.428448925982	0.061394111925	0.057597437716
42.000000	0.023809523810	1257	629	0.000925934500	629.000000000000	0.429518110963	0.435132299854	0.060730889966	0.056949747491
43.000000	0.023255813953	1257	629	0.000912085275	629.000000000000	0.436037617854	0.441868281394	0.060106523864	0.056340224640
44.000000	0.022727272727	1257	629	0.000898543516	629.000000000000	0.442606712372	0.448654306254	0.059518012542	0.055765905666
45.000000	0.022222222222	1257	629	0.000885304796	629.000000000000	0.449223071259	0.455487971510	0.058962639607	0.055224109424
46.000000	0.021739130435	1257	629	0.000872364214	629.000000000000	0.455884513873	0.462367023598	0.058437941970	0.054712405872
47.000000	0.021276595745	1257	629	0.000859716480	629.000000000000	0.462588991324	0.469289346723	0.057941682315	0.054228588674
48.000000	0.020833333333	1257	629	0.000847356004	629.000000000000	0.469334576351	0.476252952541	0.057471824905	0.053770651134
49.000000	0.020408163265	1257	629	0.000835276961	629.000000000000	0.476119453987	0.483255970377	0.057026514284	0.053336765027
50.000000	0.020000000000	1257	629	0.000823473354	629.000000000000	0.482941912960	0.490296638181	0.056604056501	0.052925261942
51.000000	0.019607843137	1257	629	0.000811939069	629.000000000000	0.489800337836	0.497373294584	0.056202902529	0.052534616823
52.000000	0.019230769231	1257	629	0.000800667913	629.000000000000	0.496693201834	0.504484371162	0.055821633609	0.052163433415
53.000000	0.018867924528	1257	629	0.000789653660	629.000000000000	0.503619060293	0.511628385917	0.055458948266	0.051810431386
54.000000	0.018518518519	1257	629	0.000778890076	629.000000000000	0.510576544730	0.518803936993	0.055113650791	0.051474434907
55.000000	0.018181818182	1257	629	0.000768370950	629.000000000000	0.517564357447	0.526009696886	0.054784641014	0.051154362513
56.000000	0.017857142857	1257	629	0.000758090116	629.000000000000	0.524581266637	0.533244407742	0.054470905202	0.050849218082
57.000000	0.017543859649	1257	629	0.000748041472	629.000000000000	0.531626101949	0.540506876281	0.054171507952	0.050558082811
58.000000	0.017241379310	1257	629	0.000738218994	629.000000000000	0.538697750464	0.547795970022	0.053885584955	0.050280108042
59.000000	0.016949152542	1257	629	0.000728616751	629.000000000000	0.545795153043	0.555110613107	0.053612336530	0.050014508869
60.000000	0.016666666667	1257	629	0.000719228915	629.000000000000	0.552917301009	0.562449782788	0.053351021835	0.049760558407
61.000000	0.016393442623	1257	629	0.000710049767	629.000000000000	0.560063233135	0.569812506584	0.053100953682	0.049517582660
62.000000	0.016129032258	1257	629	0.000701073705	629.000000000000	0.567232032891	0.577197858865	0.052861493877	0.049284955916
63.000000	0.015873015873	1257	629	0.000692295250	629.000000000000	0.574422825940	0.584604958801	0.052632049031	0.049062096606
64.000000	0.015625000000	1257	629	0.000683709047	629.000000000000	0.581634777845	0.592032967367	0.052412066796	0.048848463573
65.000000	0.015384615385	1257	629	0.000675309872	629.000000000000	0.588867091967	0.599481085222	0.052201032455	0.048643552717
66.000000	0.015151515152	1257	629	0.000667092625	629.000000000000	0.596119007529	0.606948550690	0.051998465856	0.048446893955
