panel	square_geometry	temperature_disk	temperature_square	delta_temperature	abs_delta_temperature
Disk GCE to Square GCE	square_obc	0.013977525295	0.040600869585	0.026623344290	0.026623344290
Disk GCE to Square GCE	square_obc	0.014020532539	0.040713550868	0.026693018329	0.026693018329
Disk GCE to Square GCE	square_obc	0.014063672112	0.040826544880	0.026762872768	0.026762872768
Disk GCE to Square GCE	square_obc	0.014106944421	0.040938937901	0.026831993480	0.026831993480
Disk GCE to Square GCE	square_obc	0.014150349874	0.041050787436	0.026900437562	0.026900437562
Disk GCE to Square GCE	square_obc	0.014193888880	0.041162942556	0.026969053676	0.026969053676
Disk GCE to Square GCE	square_obc	0.014237561851	0.041275404095	0.027037842244	0.027037842244
Disk GCE to Square GCE	square_obc	0.014281369198	0.041388172892	0.027106803694	0.027106803694
Disk GCE to Square GCE	square_obc	0.014325311336	0.041499637976	0.027174326640	0.027174326640
Disk GCE to Square GCE	square_obc	0.014369388678	0.041611225641	0.027241836963	0.027241836963
Disk GCE to Square GCE	square_obc	0.014413601642	0.041725582648	0.027311981006	0.027311981006
Disk GCE to Square GCE	square_obc	0.014457950644	0.041842689312	0.027384738668	0.027384738668
Disk GCE to Square GCE	square_obc	0.014502436102	0.041959714318	0.027457278216	0.027457278216
Disk GCE to Square GCE	square_obc	0.014547058437	0.042075585355	0.027528526918	0.027528526918
Disk GCE to Square GCE	square_obc	0.014591818070	0.042191776368	0.027599958298	0.027599958298
Disk GCE to Square GCE	square_obc	0.014636715424	0.042308288241	0.027671572817	0.027671572817
Disk GCE to Square GCE	square_obc	0.014681750921	0.042425121859	0.027743370938	0.027743370938
Disk GCE to Square GCE	square_obc	0.014726924987	0.042541387540	0.027814462553	0.027814462553
Disk GCE to Square GCE	square_obc	0.014772238049	0.042656946200	0.027884708151	0.027884708151
Disk GCE to Square GCE	square_obc	0.014817690534	0.042772818762	0.027955128228	0.027955128228
Disk GCE to Square GCE	square_obc	0.014863282871	0.042889006077	0.028025723206	0.028025723206
Disk GCE to Square GCE	square_obc	0.014909015490	0.043005509002	0.028096493512	0.028096493512
Disk GCE to Square GCE	square_obc	0.014954888824	0.043121081234	0.028166192410	0.028166192410
Disk GCE to Square GCE	square_obc	0.015000903304	0.043236269968	0.028235366664	0.028235366664
Disk GCE to Square GCE	square_obc	0.015047059366	0.043351766404	0.028304707038	0.028304707038
Disk GCE to Square GCE	square_obc	0.015093357445	0.043467571364	0.028374213919	0.028374213919
Disk GCE to Square GCE	square_obc	0.015139797977	0.043588542487	0.028448744510	0.028448744510
Disk GCE to Square GCE	square_obc	0.015186381402	0.043708806316	0.028522424914	0.028522424914
Disk GCE to Square GCE	square_obc	0.015233108158	0.043828882728	0.028595774570	0.028595774570
Disk GCE to Square GCE	square_obc	0.015279978688	0.043949289014	0.028669310326	0.028669310326
Disk GCE to Square GCE	square_obc	0.015326993433	0.044070026078	0.028743032645	0.028743032645
Disk GCE to Square GCE	square_obc	0.015374152836	0.044191094830	0.028816941994	0.028816941994
Disk GCE to Square GCE	square_obc	0.015421457344	0.044310873069	0.028889415725	0.028889415725
Disk GCE to Square GCE	square_obc	0.015468907402	0.044430513073	0.028961605671	0.028961605671
Disk GCE to Square GCE	square_obc	0.015516503459	0.044550476108	0.029033972649	0.029033972649
Disk GCE to Square GCE	square_obc	0.015564245964	0.044670763044	0.029106517080	0.029106517080
Disk GCE to Square GCE	square_obc	0.015612135366	0.044791374757	0.029179239391	0.029179239391
Disk GCE to Square GCE	square_obc	0.015660172119	0.044910765435	0.029250593316	0.029250593316
Disk GCE to Square GCE	square_obc	0.015708356675	0.045029906260	0.029321549585	0.029321549585
Disk GCE to Square GCE	square_obc	0.015756689490	0.045149363146	0.029392673656	0.029392673656
Disk GCE to Square GCE	square_obc	0.015805171019	0.045269136932	0.029463965913	0.029463965913
