panel	square_geometry	temperature_disk	temperature_square
Disk GCE to Square GCE	square_obc	0.014954888824	0.043121081234
Disk GCE to Square GCE	square_obc	0.015000903304	0.043236269968
Disk GCE to Square GCE	square_obc	0.015047059366	0.043351766404
Disk GCE to Square GCE	square_obc	0.015093357445	0.043467571364
Disk GCE to Square GCE	square_obc	0.015139797977	0.043588542487
Disk GCE to Square GCE	square_obc	0.015186381402	0.043708806316
Disk GCE to Square GCE	square_obc	0.015233108158	0.043828882728
Disk GCE to Square GCE	square_obc	0.015279978688	0.043949289014
Disk GCE to Square GCE	square_obc	0.015326993433	0.044070026078
Disk GCE to Square GCE	square_obc	0.015374152836	0.044191094830
Disk GCE to Square GCE	square_obc	0.015421457344	0.044310873069
Disk GCE to Square GCE	square_obc	0.015468907402	0.044430513073
Disk GCE to Square GCE	square_obc	0.015516503459	0.044550476108
Disk GCE to Square GCE	square_obc	0.015564245964	0.044670763044
Disk GCE to Square GCE	square_obc	0.015612135366	0.044791374757
Disk GCE to Square GCE	square_obc	0.015660172119	0.044910765435
Disk GCE to Square GCE	square_obc	0.015708356675	0.045029906260
Disk GCE to Square GCE	square_obc	0.015756689490	0.045149363146
Disk GCE to Square GCE	square_obc	0.015805171019	0.045269136932
Disk GCE to Square GCE	square_obc	0.015853801721	0.045389228457
Disk GCE to Square GCE	square_obc	0.015902582053	0.045510958404
Disk GCE to Square GCE	square_obc	0.015951512477	0.045635317532
Disk GCE to Square GCE	square_obc	0.016000593454	0.045760016473
Disk GCE to Square GCE	square_obc	0.016049825448	0.045885056155
Disk GCE to Square GCE	square_obc	0.016099208923	0.046010437510
Disk GCE to Square GCE	square_obc	0.016148744345	0.046135255967
Disk GCE to Square GCE	square_obc	0.016198432183	0.046259037264
Disk GCE to Square GCE	square_obc	0.016248272904	0.046383150668
Disk GCE to Square GCE	square_obc	0.016298266979	0.046507597069
Disk GCE to Square GCE	square_obc	0.016348414880	0.046632377361
Disk GCE to Square GCE	square_obc	0.016398717080	0.046757250647
Disk GCE to Square GCE	square_obc	0.016449174055	0.046880385495
Disk GCE to Square GCE	square_obc	0.016499786280	0.047003844618
Disk GCE to Square GCE	square_obc	0.016550554233	0.047127628869
Disk GCE to Square GCE	square_obc	0.016601478393	0.047251739105
Disk GCE to Square GCE	square_obc	0.016652559241	0.047376176184
Disk GCE to Square GCE	square_obc	0.016703797259	0.047499240978
Disk GCE to Square GCE	square_obc	0.016755192930	0.047622128105
Disk GCE to Square GCE	square_obc	0.016806746740	0.047751542134
Disk GCE to Square GCE	square_obc	0.016858459176	0.047881307849
Disk GCE to Square GCE	square_obc	0.016910330724	0.048011426204
Disk GCE to Square GCE	square_obc	0.016962361875	0.048141263517
Disk GCE to Square GCE	square_obc	0.017014553120	0.048269578888
Disk GCE to Square GCE	square_obc	0.017066904952	0.048398236270
Disk GCE to Square GCE	square_obc	0.017119417864	0.048527236574
Disk GCE to Square GCE	square_obc	0.017172092353	0.048656580715
Disk GCE to Square GCE	square_obc	0.017224928914	0.048786269608
Disk GCE to Square GCE	square_obc	0.017277928048	0.048914550291
Disk GCE to Square GCE	square_obc	0.017331090254	0.049042375596
Disk GCE to Square GCE	square_obc	0.017384416034	0.049170534938
Disk GCE to Square GCE	square_obc	0.017437905892	0.049299029192
Disk GCE to Square GCE	square_obc	0.017491560332	0.049427859231
Disk GCE to Square GCE	square_obc	0.017545379860	0.049556953174
Disk GCE to Square GCE	square_obc	0.017599364984	0.049683870858
Disk GCE to Square GCE	square_obc	0.017653516215	0.049811113584
Disk GCE to Square GCE	square_obc	0.017707834063	0.049938682184
Disk GCE to Square GCE	square_obc	0.017762319041	0.050070248381
Disk GCE to Square GCE	square_obc	0.017816971662	0.050205555565
Disk GCE to Square GCE	square_obc	0.017871792444	0.050340489793
Disk GCE to Square GCE	square_obc	0.017926781903	0.050473752814
Disk GCE to Square GCE	square_obc	0.017981940558	0.050607368613
Disk GCE to Square GCE	square_obc	0.018037268930	0.050741338124
Disk GCE to Square GCE	square_obc	0.018092767541	0.050875662284
Disk GCE to Square GCE	square_obc	0.018148436915	0.051010342031
Disk GCE to Square GCE	square_obc	0.018204277577	0.051144247661
Disk GCE to Square GCE	square_obc	0.018260290055	0.051276817376
Disk GCE to Square GCE	square_obc	0.018316474876	0.051409730721
Disk GCE to Square GCE	square_obc	0.018372832572	0.051542988587
Disk GCE to Square GCE	square_obc	0.018429363674	0.051676591868
Disk GCE to Square GCE	square_obc	0.018486068716	0.051810541459
Disk GCE to Square GCE	square_obc	0.018542948232	0.051943610800
Disk GCE to Square GCE	square_obc	0.018600002760	0.052075384837
Disk GCE to Square GCE	square_obc	0.018657232839	0.052207493167
Disk GCE to Square GCE	square_obc	0.018714639008	0.052339936639
Disk GCE to Square GCE	square_obc	0.018772221809	0.052472716102
Disk GCE to Square GCE	square_obc	0.018829981786	0.052605832409
Disk GCE to Square GCE	square_obc	0.018887919484	0.052744605650
Disk GCE to Square GCE	square_obc	0.018946035449	0.052883253197
Disk GCE to Square GCE	square_obc	0.019004330231	0.053022265201
Disk GCE to Square GCE	square_obc	0.019062804379	0.053161642621
Disk GCE to Square GCE	square_obc	0.019121458445	0.053301386416
Disk GCE to Square GCE	square_obc	0.019180292983	0.053441497549
Disk GCE to Square GCE	square_obc	0.019239308548	0.053581524428
Disk GCE to Square GCE	square_obc	0.019298505697	0.053719232051
Disk GCE to Square GCE	square_obc	0.019357884990	0.053857293591
Disk GCE to Square GCE	square_obc	0.019417446985	0.053995709956
Disk GCE to Square GCE	square_obc	0.019477192246	0.054134482060
Disk GCE to Square GCE	square_obc	0.019537121336	0.054273610817
Disk GCE to Square GCE	square_obc	0.019597234821	0.054413097142
Disk GCE to Square GCE	square_obc	0.019657533269	0.054550312122
Disk GCE to Square GCE	square_obc	0.019718017248	0.054687309415
Disk GCE to Square GCE	square_obc	0.019778687329	0.054824650762
Disk GCE to Square GCE	square_obc	0.019839544085	0.054962337027
Disk GCE to Square GCE	square_obc	0.019900588090	0.055100369076
Disk GCE to Square GCE	square_obc	0.019961819921	0.055238747778
Disk GCE to Square GCE	square_obc	0.020023240155	0.055376247580
Disk GCE to Square GCE	square_obc	0.020084849372	0.055512066755
Disk GCE to Square GCE	square_obc	0.020146648154	0.055654156598
Disk GCE to Square GCE	square_obc	0.020208637083	0.055799407522
Disk GCE to Square GCE	square_obc	0.020270816745	0.055945037535
Disk GCE to Square GCE	square_obc	0.020333187727	0.056091047625
Disk GCE to Square GCE	square_obc	0.020395750617	0.056237438785
Disk GCE to Square GCE	square_obc	0.020458506007	0.056381389753
Disk GCE to Square GCE	square_obc	0.020521454487	0.056525010497
Disk GCE to Square GCE	square_obc	0.020584596652	0.056668997087
Disk GCE to Square GCE	square_obc	0.020647933099	0.056813350455
Disk GCE to Square GCE	square_obc	0.020711464425	0.056958071536
Disk GCE to Square GCE	square_obc	0.020775191229	0.057103161266
Disk GCE to Square GCE	square_obc	0.020839114114	0.057248297476
Disk GCE to Square GCE	square_obc	0.020903233681	0.057390539642
Disk GCE to Square GCE	square_obc	0.020967550538	0.057533135230
Disk GCE to Square GCE	square_obc	0.021032065290	0.057676085119
Disk GCE to Square GCE	square_obc	0.021096778546	0.057819390188
Disk GCE to Square GCE	square_obc	0.021161690918	0.057963051321
Disk GCE to Square GCE	square_obc	0.021226803018	0.058107069402
Disk GCE to Square GCE	square_obc	0.021292115460	0.058250580109
Disk GCE to Square GCE	square_obc	0.021357628861	0.058391658310
Disk GCE to Square GCE	square_obc	0.021423343840	0.058533078192
Disk GCE to Square GCE	square_obc	0.021489261015	0.058674840580
